"Original","Bytes","SHA256","Atual"
"levantamento\adicional\qa_gallery.png","63250","30AD3802A0C3653F45148D2D8BC626B838E7BFE7D94D879FF67F4232F09BB1B9","04_Levantamento\levantamento\adicional\qa_gallery.png"
"levantamento\adicional\qa_top.png","92888","E73E0E504B7C0AA24BB5E192793A089A6429551513D69FC832507BFB7990D2A2","04_Levantamento\levantamento\adicional\qa_top.png"
"levantamento\adicional\Transcricao_automatica_com_horarios.txt","12757","734F30242695CA4478F06D3BC9550B8C9495079A5D221825D8B4D6E0E7105338","04_Levantamento\levantamento\adicional\Transcricao_automatica_com_horarios.txt"
"levantamento\adicional\transcricao_automatica.json","17438","6E40F05D713A7A267DE3E5CFE92AE22C0CEC04387A76CA442B8CF0DC7E0166A9","04_Levantamento\levantamento\adicional\transcricao_automatica.json"
"levantamento\adicional\transcricao_automatica.jsonl","15615","488053D858F53D6094C1E91F8D5864CF19DF0E2B67BB90E38F8E26BBA8B6E866","04_Levantamento\levantamento\adicional\transcricao_automatica.jsonl"
"levantamento\adicional\frames\AD-0110.jpg","21507","DA34319461055D2EDFFEFEE8FC0C70AF2FD9BB6D02C5A9B8E8E3DB389BF2C0B1","04_Levantamento\levantamento\adicional\frames\AD-0110.jpg"
"levantamento\adicional\frames\AD-0130.jpg","68502","22FD612E9EB3E859CB1736FF496CC8A01B8EFDE88421264AA471BEE551AA9EE9","04_Levantamento\levantamento\adicional\frames\AD-0130.jpg"
"levantamento\adicional\frames\AD-0142.jpg","56171","5CB46D5678824E9024206BCB72752944079021022CFA45BA158BD0A4F728A3F6","04_Levantamento\levantamento\adicional\frames\AD-0142.jpg"
"levantamento\adicional\frames\AD-0154.jpg","64392","AA7D9608D9DDC4A852223FDB1CED17048FA4F0C1E0F7F8185F9FD90D82DEEF41","04_Levantamento\levantamento\adicional\frames\AD-0154.jpg"
"levantamento\adicional\frames\AD-0166.jpg","87972","9C159AB3226FF7A44502B71AC9A1737E7DFEC79B761178850C23A20BDD47CE3F","04_Levantamento\levantamento\adicional\frames\AD-0166.jpg"
"levantamento\adicional\frames\AD-0170.jpg","83914","ED264C9254BA1F61BBFDE609200CBF00799A3F1A645570B5BC1E96DAACE1B39A","04_Levantamento\levantamento\adicional\frames\AD-0170.jpg"
"levantamento\adicional\frames\AD-0178.jpg","83117","972368DE0A92391D8F7BA059CAF0680678C4430649366F0BD15018D4F83C51F7","04_Levantamento\levantamento\adicional\frames\AD-0178.jpg"
"levantamento\adicional\frames\AD-0186.jpg","89507","B60902D998FC9CC7F5874BBA24BB823CCA000B573BAD9B5CC3752424143E684B","04_Levantamento\levantamento\adicional\frames\AD-0186.jpg"
"levantamento\adicional\frames\AD-0202.jpg","80685","47437344CA7270E0995BB4EBC7DE53B6037F9B6987A1D6E915A1AE48F8A6C81B","04_Levantamento\levantamento\adicional\frames\AD-0202.jpg"
"levantamento\adicional\frames\AD-0206.jpg","70102","A8024212BD56F8BFB84AB70AFC2DD6327877283A807E0A07B089C7407B2649F9","04_Levantamento\levantamento\adicional\frames\AD-0206.jpg"
"levantamento\adicional\frames\AD-0218.jpg","111451","A9DC44B9754B05C230B821B73A0DF862940363F536152EA9EF323D897A7F1289","04_Levantamento\levantamento\adicional\frames\AD-0218.jpg"
"levantamento\adicional\frames\AD-0238.jpg","77205","C87DDD21334155836A243FF2DD514F9E227D8EE3A644E3231A5A621419F8E072","04_Levantamento\levantamento\adicional\frames\AD-0238.jpg"
"levantamento\adicional\frames\AD-0246.jpg","90451","D8A3D5CF4D58E345E7E0E60BFC5C8FBAC96AB70E740DE1BB4CC57588679C6C55","04_Levantamento\levantamento\adicional\frames\AD-0246.jpg"
"levantamento\adicional\frames\AD-0262.jpg","72382","26FED271D94ECD96306C317D5573957D08DC8CA017438F48EB219193EB11107A","04_Levantamento\levantamento\adicional\frames\AD-0262.jpg"
"levantamento\adicional\frames\AD-0278.jpg","95960","B78F1F102D88B3FCF623F49AC8FC921C1588AA3B4E19DB35EED0E97AA68C1A99","04_Levantamento\levantamento\adicional\frames\AD-0278.jpg"
"levantamento\adicional\frames\AD-0302.jpg","59585","29A5D803B50BE030AC123D8D1C48D56BEE300EAC6115D1E397F5C3BD028BA1D9","04_Levantamento\levantamento\adicional\frames\AD-0302.jpg"
"levantamento\adicional\frames\AD-0322.jpg","83198","E0AE3D429AB689BDA3A1428BBD22F2B1DE303FE5754962922FB9D1A52FB6C5FE","04_Levantamento\levantamento\adicional\frames\AD-0322.jpg"
"levantamento\adicional\frames\AD-0334.jpg","40282","41AFABE6EC214CA54B469464529C851A1638AC44F645B3BFB71DDC715F67D8D0","04_Levantamento\levantamento\adicional\frames\AD-0334.jpg"
"levantamento\adicional\frames\AD-0350.jpg","32813","3DC5E3F00DCEEAB8CF5CF043EE014B01F5C56C0736FAEC61928F00E61205F37E","04_Levantamento\levantamento\adicional\frames\AD-0350.jpg"
"levantamento\adicional\frames\AD-0358.jpg","35658","E3432E413352857DA669EEAA93195ACE4EB63004742E7BD7B9530D94D67F7FA6","04_Levantamento\levantamento\adicional\frames\AD-0358.jpg"
"levantamento\adicional\frames\AD-0382.jpg","86106","AE0DE8CADCE52A063EAB2694D2272B75BC8855AFA08A15ED0D51BCD8203A27D6","04_Levantamento\levantamento\adicional\frames\AD-0382.jpg"
"levantamento\adicional\frames\AD-0398.jpg","77588","14EA7E43BA072CD85C623709890E3AB98F435E4B3BF89BCD05A8DC21184A007B","04_Levantamento\levantamento\adicional\frames\AD-0398.jpg"
"levantamento\adicional\frames\AD-0406.jpg","73354","C873E849E732D162FB09614F92C8046A60C2D387CD85A2BED489EFF9F17B2765","04_Levantamento\levantamento\adicional\frames\AD-0406.jpg"
"levantamento\adicional\frames\AD-0414.jpg","45989","56082A64D4AAA41C7DEE6C90946BD1F89FB70EE215EC03D08D709393AFDDB512","04_Levantamento\levantamento\adicional\frames\AD-0414.jpg"
"levantamento\adicional\frames\AD-0430.jpg","58608","6E094D265B50144B221CCBB21EC82EBDA3C9A6988D4D3B7C66AD7D4B48B117DA","04_Levantamento\levantamento\adicional\frames\AD-0430.jpg"
"levantamento\adicional\frames\AD-0446.jpg","40767","52FEFAF06B642172A83E2483BD98819EB713A294C5473093A0B52E8951187C21","04_Levantamento\levantamento\adicional\frames\AD-0446.jpg"
